TF	Gene	Input
AT5G61850	AT1G26310	1
AT5G61850	AT1G68880	1
AT5G61850	AT2G44450	1
AT5G61850	AT3G19390	1
AT5G61850	AT1G61830	1
AT5G61850	AT3G47340	1
AT5G61850	AT3G43190	1
AT5G61850	AT3G52470	1
AT5G61850	AT4G14090	1
AT5G61850	AT4G22780	1
AT5G61850	AT3G61250	1
AT5G61850	AT1G16070	1
AT5G61850	AT5G60630	1
AT5G61850	AT5G49770	1
AT5G61850	AT5G03790	1
AT5G61850	AT5G03230	1
AT5G61850	AT3G54340	1
AT5G61850	AT4G18960	1
AT5G10140	AT4G35900	1
AT5G06100	AT5G61850	1
AT4G35390	AT1G15550	1
AT3G55560	AT1G15550	1
AT4G32730	AT1G08560	1
AT5G11510	AT1G08560	1
AT1G09530	AT5G13930	1
AT1G09530	AT3G55120	1
AT1G09530	AT3G51240	1
AT1G09530	AT5G07990	1
AT1G09530	AT5G42800	1
AT1G09530	AT4G22880	1
AT5G11260	AT5G13930	1
AT5G11260	AT3G55120	1
AT5G11260	AT5G07990	1
AT5G11260	AT5G42800	1
AT5G11260	AT4G22880	1
AT3G27920	AT2G24260	1
AT3G27920	AT2G24100	1
AT3G27920	AT2G20370	1
AT3G27920	AT2G19700	1
AT3G27920	AT2G19150	1
AT3G27920	AT2G19140	1
AT3G27920	AT2G17070	1
AT3G27920	AT2G16770	1
AT3G27920	AT2G15970	1
AT3G27920	AT2G15950	1
AT3G27920	AT2G15870	1
AT3G27920	AT2G14940	1
AT3G27920	AT2G14920	1
AT3G27920	AT2G13800	1
AT3G27920	AT2G13740	1
AT3G27920	AT2G13390	1
AT3G27920	AT2G12650	1
AT3G27920	AT2G12646	1
AT3G27920	AT2G12475	1
AT3G27920	AT2G12470	1
AT3G27920	AT2G12320	1
AT3G27920	AT2G12305	1
AT3G27920	AT2G12210	1
AT3G27920	AT2G12200	1
AT3G27920	AT2G12195	1
AT3G27920	AT2G12130	1
AT3G27920	AT2G10735	1
AT3G27920	AT2G10320	1
AT3G27920	AT2G10310	1
AT3G27920	AT2G09953	1
AT3G27920	AT2G09950	1
AT3G27920	AT2G09880	1
AT3G27920	AT2G07520	1
AT3G27920	AT2G07140	1
AT3G27920	AT2G07130	1
AT3G27920	AT2G07120	1
AT3G27920	AT2G07110	1
AT3G27920	AT2G06920	1
AT3G27920	AT2G06917	1
AT3G27920	AT2G06880	1
AT3G27920	AT2G06875	1
AT3G27920	AT2G06870	1
AT3G27920	AT2G06310	1
AT3G27920	AT2G06303	1
AT3G27920	AT2G04080	1
AT3G27920	AT2G04040	1
AT3G27920	AT2G03030	1
AT3G27920	AT2G03000	1
AT3G27920	AT2G02990	1
AT3G27920	AT2G01870	1
AT3G27920	AT2G01720	1
AT3G27920	AT2G01560	1
AT3G27920	AT2G01190	1
AT3G27920	AT1G80220	1
AT3G27920	AT1G80210	1
AT3G27920	AT1G80120	1
AT3G27920	AT1G77950	1
AT3G27920	AT1G77940	1
AT3G27920	AT1G77670	1
AT3G27920	AT1G77370	1
AT3G27920	AT1G74710	1
AT3G27920	AT1G74690	1
AT3G27920	AT1G71695	1
AT3G27920	AT1G69990	1
AT3G27920	AT1G69920	1
AT3G27920	AT1G68250	1
AT3G27920	AT1G67010	1
AT3G27920	AT1G67000	1
AT3G27920	AT1G66950	1
AT3G27920	AT1G66940	1
AT3G27920	AT1G66930	1
AT3G27920	AT1G66920	1
AT3G27920	AT1G66450	1
AT3G27920	AT1G66440	1
AT3G27920	AT1G64400	1
AT3G27920	AT1G64020	1
AT3G27920	AT1G64010	1
AT3G27920	AT1G63920	1
AT3G27920	AT1G63910	1
AT3G27920	AT1G63300	1
AT3G27920	AT1G61850	1
AT3G27920	AT1G61740	1
AT3G27920	AT1G60985	1
AT3G27920	AT1G60815	1
AT3G27920	AT1G60810	1
AT3G27920	AT1G59218	1
AT3G27920	AT1G58848	1
AT3G27920	AT1G58245	1
AT3G27920	AT1G58242	1
AT3G27920	AT1G58090	1
AT3G27920	AT1G58080	1
AT3G27920	AT1G57850	1
AT3G27920	AT1G56140	1
AT3G27920	AT1G55870	1
AT3G27920	AT1G54955	1
AT3G27920	AT1G54950	1
AT3G27920	AT1G54520	1
AT3G27920	AT1G54510	1
AT3G27920	AT1G54450	1
AT3G27920	AT1G54400	1
AT3G27920	AT1G54390	1
AT3G27920	AT1G52905	1
AT3G27920	AT1G52900	1
AT3G27920	AT1G52320	1
AT3G27920	AT1G52120	1
AT3G27920	AT1G52100	1
AT3G27920	AT1G51830	1
AT3G27920	AT1G51390	1
AT3G27920	AT1G51300	1
AT3G27920	AT1G49920	1
AT3G27920	AT1G48890	1
AT3G27920	AT1G48510	1
AT3G27920	AT1G48500	1
AT3G27920	AT1G48490	1
AT3G27920	AT1G47510	1
AT3G27920	AT1G46624	1
AT3G27920	AT1G46552	1
AT3G27920	AT1G42375	1
AT3G27920	AT1G42365	1
AT3G27920	AT1G42290	1
AT3G27920	AT1G42130	1
AT3G27920	AT1G41930	1
AT3G27920	AT1G41790	1
AT3G27920	AT1G41775	1
AT3G27920	AT1G41710	1
AT3G27920	AT1G41700	1
AT3G27920	AT1G40117	1
AT3G27920	AT1G40115	1
AT3G27920	AT1G40093	1
AT3G27920	AT1G38450	1
AT3G27920	AT1G38350	1
AT3G27920	AT1G38158	1
AT3G27920	AT1G37060	1
AT3G27920	AT1G37057	1
AT3G27920	AT1G37045	1
AT3G27920	AT1G36035	1
AT3G27920	AT1G35750	1
AT3G27920	AT1G35700	1
AT3G27920	AT1G35620	1
AT3G27920	AT1G35590	1
AT3G27920	AT1G35210	1
AT3G27920	AT1G34740	1
AT3G27920	AT1G33950	1
AT3G27920	AT1G32820	1
AT3G27920	AT1G32690	1
AT3G27920	AT1G32540	1
AT3G27920	AT1G32530	1
AT3G27920	AT1G32360	1
AT3G27920	AT1G31640	1
AT3G27920	AT1G31355	1
