HDGF	SPTSSB	CD151
COMMD5	WDR59	RAB28
C11orf58	CMPK1	C16orf59
BOLA3	COQ2	ARAP1
OXCT1	RPL3P1	DLG1
VTI1B	DHX16	ZNF493
RPS26	COX7C	HES4
TXNRD2	KIRREL2	MIB1
METAP2	BTBD6	BOD1
BAG2	PRR3	AMN1
NABP2	SEC61B	REEP2
PURA	BOLA2B	FAM63B
RBX1	CHD8	IKZF5
HESX1	GMFG	ZW10
CEP57	CCNDBP1	TCEA1
LRRC58	MRS2	SERPINI1
C11orf68	AK3	RN7SKP9
PLCH1	PSMA6	CRNKL1
RNF10	PPOX	NUB1
MAP3K13	SNORD36C	RRAS2
USP39	KLHDC4	HIRA
RMDN3	MEGF8	PLAGL1
GSTCD	KLHL8	FBXO42
HINT2	TUBA1A	ZRANB1
DDX19B	CXorf40A	PSMD1
ING2	C4orf32	ANXA4
VMP1	MCOLN1	CDK5RAP2
ZDHHC16	ESAM	GLRX5
S100Z	ARID1A	BACH2
C14orf159	TMEM19	TRAF2
TRIP12	PKN2	POLR3GL
C14orf2	PHF1	TESPA1
ZNF462	BCL9L	FAM160A2
KANSL1	E2F8	DGKA
DICER1	LRP6	RALBP1
CNPY4	CDC42P6	AHSA1
SLC39A9	CD247	ZNF26
STX2	WHSC1L1	ATAD2B
CCDC64	C1orf112	GTF3C5
MKNK1	ORAOV1	C17orf53
ERI2	NME2	CCDC15
ANKRD36B	CSNK1G1	C1orf43
PHYH	TCF20	THG1L
EPB41L5	RMI1	DIABLO
FAS	ANAPC13	MPZ
COPS7A	CPSF2	MPDU1
SMC6	GMPPB	ARFIP2
CUEDC2	ANKRD13C	PNPLA8
MRTO4	DVL3	C6orf47
CD81	CCND3	RFK
ARL6	EXOSC3	ZNF48
TIPIN	HLA-A	ANP32A
SKIDA1	RFX7	AFG3L2
FAM220BP	HERC3	METTL23
MCC	DDX17	ANAPC4
TRAF3	KIAA0226	DPY19L2P2
TFDP1	PANK2	XPO6
CDK5RAP1	HOOK2	FNBP1
ZNF730	GGH	ADD3
IDE	ACAP2	RABL5
PARP3	VPS37A	MARCH9
CCDC132	CYC1	SCML1
MTF2	VPS26B	GLO1
GTF3C3	FAM63B	C19orf70
ZDHHC23	RB1	RPL15P3
MCM3AP-AS1	GLUD2	MZB1
NDUFB3	CCDC117	TBPL1
RPF2	C17orf103	ACOX1
DPY19L4	RPE	ANGEL2
AMZ1	C22orf29	TTYH3
KLHL15	CCDC34	GPKOW
TAF11	EZR	POLR3H
AGFG2	ARPC3	PCGF1
TSPAN7	ZNF346	SMARCD1
GTF2IP1	FAM126A	ZNF671
SAMM50	PSRC1	ANAPC11
PPP1R3E	DPH1	ERICH2
C12orf76	CATSPER3	UFC1
ARID2	NHLRC2	KCTD6
MYOM2	ZDHHC14	NDST2
PHF6	MCM10	CCDC112
WDR83	ETFA	RPL9P5
PALD1	OTUD4	RBMS2
TOX	CDV3	NAA50
CCDC66	SRGAP1	SLC35F2
C1orf27	MYBL2	UBE3B
WNT3	SMN2	PPM1K
MT-TS1	FUBP3	ZSCAN21
MCFD2	RNF14	ZNF618
RAP2A	RAB3GAP2	SS18L1
DYNLL2	C16orf70	HSPD1
ZNF629	MSANTD3	CDC23
TRPC4AP	AVL9	SOD1
MKKS	PEX3	DDX11
ZNF773	WDR83OS	NDUFAF7
R3HCC1L	ARHGEF39	FASTK
TPM3	CFTR	CNNM2
DIXDC1	NOL10	RBM17
SNX24	KPNA3	SRP19
ELP5	ACSS1	UNC50
TIGD6	PRDX6	PRDX4
CLUAP1	AMDHD2	CREBZF
ARPP21	GPN1	C7orf61
PSAT1	DTWD2	GPR157
RAB23	ISM1	MED14
TMED9	RPS6KA4	UHRF2
LRP4	PSAT1P3	IKBKB
CD164	ZCCHC18	FAM229A
LRRC37BP1	KIAA1109	SNX13
MLYCD	BMP2K	BICD1
HNRNPD	RPUSD3	SLC35C2
TMEM2	MRPS10	NSMAF
LARP4B	SMIM12	NOM1
CXorf57	UPF3B	SNX14
RPS10P7	C4orf33	IPO8
C16orf70	RPL34P34	PFN2
MFI2	FLYWCH2	RSF1
NPHP3	PARD6B	CNIH
GSTO1	MZT2B	TMEM65
PRICKLE4	KIAA1522	AIF1
TSR1	CTDNEP1	SOBP
UBE2I	SNRPE	KIF9
FTH1P10	ALG13	SERPINB1
PLAGL2	PPM1F	RNF14
MTMR14	DCAF6	EIF2C1
GGCT	TMEM170B	AGO1
TESPA1	PSMD4	VAT1
MAP3K8	STAT6	SLC43A1
MYCBP2	MLL	KLHL26
MEIS2	DERA	CSNK1E
ARID1B	WEE1	PEX3
RAG2	LCORL	TXLNG
AVPI1	KIAA1704	MYOM2
MIR600HG	MRPL24	TCF12
RPS28	SETD9	STAT5B
CYFIP1	ERH	RAPGEF2
WIPI2	B4GALT4	SAP30
COX11	KIF13B	MAPRE1
FMO4	ZNF786	SETD7
PTGES3	CLPX	RBM14
C10orf88	VANGL2	TTC13
AGTPBP1	SUMO1	USP45
HJURP	PRR14L	TCEA2
SUCLG2	SNORD52	PLEKHA8
RAPGEF6	TBC1D10B	RABGGTB
MYBL1	FMO4	ARFRP1
TRPM7	FLAD1	SYNRG
GOT2	BTBD9	UBQLN2
BTAF1	ARHGEF9	NOMO3
HNRNPA3P5	CCM2	ATG2B
LSM6	DENND1A	AP4B1
RFX3	KRTCAP2	OSGEPL1-AS1
SETMAR	SSNA1	PDLIM5
MCM3AP	GPR89A	ILKAP
ZBTB7A	TAPBP	CYB5R4
PHTF1	R3HDM1	MTERFD2
MTFR1L	FAM58DP	EPN1
NBN	C1D	IDH3G
MIPEP	NPFF	PTPRF
TMEM127	RUNX3	ZDHHC12
THNSL1	DGKZ	CRTC2
PREP	RAB2A	INPPL1
SKA1	EXT2	GPS1
SLC30A9	CHTF8	KCNAB3
CASK	INPP5D	ZNF212
SNHG5	PHIP	NPW
KIF7	FN1	SAPCD2
GTF2A2	IFFO1	C9orf169
JMJD4	PIK3R3	LY6G5C
FAU	GGCT	PNMA6A
CHRNB1	ST3GAL3	NPM1P26
OAT	DHODH	SV2A
ZNF562	SP100	PBX4
COPS3	DCTN1	PRDM4
PRMT5	TMSB15A	N4BP1
OXSM	GLRX5	PIK3CG
ANKIB1	HNRNPUL1	PRCP
ZNF605	MSL2	WDR52
TTC19	CYBA	PPFIA1
APEX1	XRCC6	RIPK1
MFHAS1	LMBRD1	FXR1
EFTUD2	ABR	TSC2
CDCA3	MBTPS1	CUL7
FAM65B	CEP44	C7orf26
COMT	SYS1	STX12
KHNYN	TAF11	ATP6V1G2
CHID1	GPR19	E2F3
FAM105B	SLC10A3	PNPLA2
AMN1	KANK4	TNIK
G3BP1	PLXNA3	MANEA
ZBED3-AS1	STAG3L3	PIDD
TRPC1	ZNF282	REL
ARL4A	CCT8	FAM102A
EML6	TMPRSS3	NUP188
ZNF652	MAN2B2	CCRN4L
USP46	KLHL36	TBC1D32
DNM3	BEND3	C6orf170
FBXL12	ZNF280C	COG3
CCT4	SLC35B4	RAPGEFL1
PLGRKT	SLC20A2	YTHDF2
TRIM5	INSR	PEX2
RGS6	P4HTM	MYBL1
PYCR1	ME2	COPS8P2
GTF2H1	TYMS	PSME2
AFMID	CDC123	TRIM27
DERL1	DDX60	FAM13B
APBA2	NCOA2	ITM2A
ORC3	KPNA4	RNPEPL1
PODXL	POC1B	TRMT10A
RGL4	HHAT	TRMT11
C11orf75	SPRY2	METTL14
SMCO4	C19orf70	TCOF1
KIF20A	SH3BP5-AS1	PCGF6
RAB8B	PPP1R11	TMX1
TSPYL1	ZFAND1	SSNA1
EEF1B2	NFX1	KCTD12
C11orf73	SIGIRR	BOLA3
OXSR1	PIGA	CLASP1
GRIP1	GK	ZNF614
ENTPD6	HACE1	SIGMAR1
VASH2	RBFA	SNORD52
PLXNA3	TSR2	SEC61B
VDAC2	AP3M1	WDR12
ZBTB18	BAZ2A	AAMDC
BRCC3	PSPH	NASP
RRAGA	TSHZ3	SLC12A2
EFNA4	ABHD2	ALG9
DAP	UBQLN2	MANEAL
DCAF8	RNF7	RHOT2
ARHGAP33	CCDC96	SUCLG2
SLC35B2	EEA1	C1orf63
DTL	MCC	NKX6-1
GTF3A	NPRL3	PTER
ST3GAL1	BRWD1	MFF
ASPM	CITED2	INTS4
AGPAT5	BBS2	STOX1
PIGK	FBXL20	PTTG3P
RNU6-4P	RPGR	PURB
CECR1	USP42	CHD2
C3orf52	HNRNPA0	ARL14EP
SLC36A1	GMIP	GML
DOLPP1	TEC	BSDC1
RECQL	ZHX3	ARHGAP21
DUSP5	ARIH2	SHCBP1
CDC16	SLC37A3	TMEM44-AS1
KLHL8	ITPKC	RPL3P2
VPS33B	HDLBP	PHLDA1
RFFL	PPP6R2	ATRNL1
UTP23	C5	ACTN1
SPOCK2	MRPL22	CDKN1B
CLN3	DCAF15	LUC7L3
NLN	FCHSD2	EIF1AY
AURKA	ZNF782	ABCD4
AKIRIN2	APOLD1	GON4L
PIN4P1	DSN1	CRYZL1
MAK16	SIMC1	NPRL2
ATP6AP2	TDG	DYRK2
SPPL2A	RWDD4P2	CXorf40B
LRRC34	SEC61A1	RPL30
RAB3IP	KIF18A	PPIG
RBM22	METTL10	RNU1-3
HNRNPLL	PTGER4	NPAS2
HNRPLL	ARL16	ATG14
SLCO4A1	DDX11-AS1	RPUSD4
DTX3L	RPL5	UFSP2
ARL6IP5	PRDM11	TTC7B
RPS10	ECE2	MTA3
C5orf15	ANAPC2	HRAS
RAPGEF5	ANKRD16	ZC3H14
UBE2V1P2	DDX52	FABP5
USP31	CORT	CCNY
DPAGT1	KIF11	SMIM13
THUMPD2	FGD1	RASGRP2
PKP4	ZBTB8OSP2	MKI67
TP53BP1	CINP	KTN1
NDUFS3	DICER1	SUPT4H1
RANBP10	EFNA1	HDAC3
MTM1	KLF3	CDRT4
C6orf52	MT-TS1	PDIA4
MAGI1	FGFR1OP2	CHD6
GALNT7	LAMTOR5	SAMD13
HEATR5A	PIGC	UBE2G2
MARCH8	CENPL	NRL
KDM3B	AGPS	C1QTNF6
HLCS	BZW2	PROSC
EFNB2	AMZ2P1	ACY1
H3F3A	DUSP28	TMPO
ALMS1	SMN1	RPL35
KLC4	MMD	TXNDC11
TWSG1	PABPC1	SULT1A4
PRDX6	USP31	ZMYND8
NIN	TPX2	ASNA1
MOB1A	VPS13D	ARRDC3
C7orf50	TMEM167B	ZNF784
SPIN4	MRPL42	SMAD4
KCTD18	CCDC88C	HNRNPH3
LCLAT1	BCL2	ZNF721
DOCK7	SAPCD1	ECHDC1
TNS4	RILPL1	UBXN2A
PARG	RCHY1	SUPT20H
CD3D	SLIT1	SCHIP1
MIAT	ERGIC2	PCYOX1
REEP4	TMEM128	ABAT
CCSER2	HSP90AB1	TAF8
CLDND1	UBE2L3	TMED1
HNRNPA0	MYO18B	TSPAN17
GDAP1	DHFRP1	RPS4Y1
FERMT2	KIAA0947	TIMM10B
NANS	BAK1	COX8A
ZNF213	DERL1	NAA30
OSTCP1	MAP6D1	MPHOSPH10
SERP1	FKBP15	NUDT3
SLC44A1	BTBD10	SRI
FANCD2	TMEM18	MLL
TRAF3IP1	SNX8	GUCY1B3
SMAP2	DGCR6	RBM10
RBM15B	SLC25A46	C12orf60
RAD23B	MAP2K4	SLC12A7
GIT2	B4GALT1	ITGAE
AGXT2L2	TXNDC16	PAQR4
PHYKPL	SNORA1	ENKD1
RFC5	MORF4L2	KCTD13
TAF4B	RPS26P35	TNPO2
KIAA0020	RBM22	ZNF467
COG8	IPO9	OTUD6B
CSK	ACO1	PPP1R2
KIAA0408	GNB5	WDR77
ZNF564	OGG1	RP9P
CCNB1	L3MBTL2	KDM1A
TFPI	TERF2	JAGN1
C17orf76-AS1	ALDH3B2	FAM188A
PSMG3	TMEM71	HMGB1P14
GXYLT1	CNP	CORO1A
METTL9	SLC25A17	NPC2
C18orf32	SPTBN1	SYNC
ATG2A	SNED1	NXT1
GEMIN6	MCMBP	TMEM104
LINC00324	ZNF611	TAZ
ING4	GRAP2	TSPYL2
RNF144A	SAMD12	ALKBH7
SMARCAL1	PBLD	UGP2
PLK1S1	SMPD1	OXNAD1
RFX7	CHCHD1	FAR1
GRK4	CCDC25	RPIA
ZNF133	ZNF621	CCDC90B
NCOA2	PTGES3L-AARSD1	SEC61A1
WDR48	C9orf123	GABARAPL2
UBR2	SFT2D2	FAM72B
MAP1LC3B	USP32	TM4SF19-AS1
AVL9	XRCC6BP1	C6orf136
SAPCD1	GYG1	SH3BP2
ZBTB10	CLTB	RPS12
CAPNS1	SAFB2	SETD9
JARID2	SCML1	YEATS4
DOPEY1	TFB1M	TMEM161B-AS1
PTPLA	FKRP	CARF
IRAK1BP1	MAT2A	ALS2CR8
ZNF552	SYAP1	TFAP4
ATAD2B	C19orf24	FGD3
IFT46	RSBN1L	CDK20
ZNF589	PPIB	PASK
SSX2IP	LCAT	CHRNA5
ATXN7L1	MKRN2	ECT2
STXBP5	TSC22D2	C21orf58
RC3H2	DDX21	PKIG
ORAI1	TRMT11	SKIV2L
XRN2	ATP5F1	RBM33
DEPDC1B	LSM12P1	TADA2B
SYAP1	KIAA2026	CSNK2A2
GTF3C6	ZBTB14	ALCAM
METTL13	PKP4	SULT1A2
XPO5	EVI5L	SLC4A4
ETAA1	NTN1	KLF5
ZCCHC9	DNAJC16	HNRNPU
PIR	TCEA1	YWHAB
CCDC34	BRD8	MED23
LIG3	YME1L1	MARCH8
MGAT2	CTBS	GTF3A
EGLN3	LEPR	EHMT2
TAF5	NUP88	RPL17P50
C12orf5	ATP13A3	ATL2
RNU6-36	TOP2A	RPL9P9
RNU6-36P	SIRT5	ZNF273
POP1	WDR60	KATNAL1
GINS3	ALAS1	RNASEH2A
DPH5	GPSM2	SRSF4
NELL2	NKTR	MAMSTR
SPRY1	INIP	WDYHV1
FBXO42	DMTF1	KDM6B
CCDC9	NAA30	CAMK2D
PFDN2	WASF2	HDLBP
ABHD10	ZNF589	HERC2
UBAP2	COX4I1	TEC
RPL17P50	PTEN	DBF4
RALGPS2	PHC3	PTPN7
BDH2	FBRS	MTM1
RPS3AP44	HAX1	GOT2
ZW10	CNST	ZNF275
S100A10	ARHGAP21	CNKSR2
ACADSB	TAF10	CGGBP1
ZNF507	RQCD1	ZMYND19
DMTF1	SETD1A	ANKLE2
ANP32E	JAZF1	LGALSL
HNRNPA1L2	UNC50	ACTB
MT-ATP6	TOMM22	BIK
DGKG	RANBP9	LINC00338
GTF2H2B	TMEM223	UBE2F
CPA5	RHOBTB2	DLGAP5
CTNNAL1	TUBA1C	SFXN2
DDC	PSMG1	CD300A
BTF3L4	DLG3	CCR9
ZNF408	CHRAC1	CMPK1
IMMT	MRPS7	FAM98A
YAF2	KRI1	RBAK
SEC63	JHDM1D	UHRF1BP1
ETF1	RAB18	KLHDC2
GINS4	DNAJB2	KRR1
CLP1	DDX49	MLEC
TMEM57	OTUD6B	DAB2
HS2ST1	CDC16	ARHGEF9
ZFYVE16	UQCRB	SLC43A3
KLF6	SNRNP27	WDR6
FGFBP3	PELI2	EMC3
DEDD	KLHL26	COMMD10
SCHIP1	DHRS4	RFFL
MIS18BP1	SECISBP2L	ZMIZ2
PPP3CA	PHF7	HIST2H4B
LCOR	C3orf58	ZNF408
C12orf43	NDUFS5	BORA
HEATR6	C12orf66	REV3L
AIDA	KIAA1429	BPTF
RAD18	SPPL2A	TJAP1
ARNT	ZNF14	AP1B1
ALKBH4	ATOX1	CIB2
S100P	POU2AF1	BEND3
SP4	DDHD1	MRPL13
SLU7	ATN1	C8orf33
PRKRA	KCTD17	NELFB
RNASEL	ERGIC3	RPL13
SVIL	SHPK	C18orf21
TRAPPC2L	TMEM218	PSMB8
BRAT1	MAMSTR	RPL9P7
MEF2BNB-MEF2B	LENG9	PIK3C2B
OMA1	DDX56	E2F1
ATXN10	MFF	CERS2
BDH1	ZNF100	IFT80
PHF10	ITPK1	MED8
PRDM4	PLCL2	FAM72D
SRBD1	SQLE	LRP6
RELT	TMEM14B	FRS2
WDR5B	C9orf78	CNPY4
LSM3P4	SLC38A2	ACAD11
VANGL2	FBXO33	SDCCAG8
CEP170	UFC1	ZBTB3
KBTBD11	LINC00205	ZNF780A
CTSK	PLEKHO1	SPG11
PHOSPHO2	ACY1	HSPB1
LMAN2L	SLC25A22	FAM20B
C9orf69	VAMP3	SHB
HSP90B1	PPP3R1	NQO1
TRAPPC13	DCK	CSTF1
DSG2	C15orf27	ZSCAN32
ZFHX3	PDCD2	FAM21C
DOK3	ZFAND6	IL23A
SAYSD1	SLC30A9	NBPF20
FBXO9	LINS	RBM11
TMEM30A	CLK2	RNF40
DLEU2L	PRIM1	CCT7
NINJ1	PURA	LGMN
GNAS	TDRKH	STX16
ZNF780A	PPARD	ZNF709
MSANTD2	MED6	ZNF227
AKAP7	ENOX1	DCAF10
LSM3P3	SMUG1	ETV3
ANAPC16	SLC1A4	CENPC
CXCL3	PIGH	CENPC1
FLT4	MGAT2	MPPE1
LIN9	CALU	SYAP1
CDRT4	PBX3	EIF2AK3
MCPH1	XRRA1	CYSTM1
DYNC1LI1	CCNB1	ATAT1
BCAT1	GPR155	EPHB6
CEP57L1	DDX41	GPR65
KIF4A	CCDC14	GPN2
NME1	MTM1	DDX12P
ZNF772	PPM1H	APTX
KDELR1	LEPROT	ABCB7
C10orf12	RAD54B	DDC
PFDN5	POLR2J	BRMS1L
CYP2U1	ZNF714	ZNF182
SLC2A1-AS1	CUL4B	ZDHHC4
USP45	BBS1	KLHDC4
ISG15	KIAA0930	RPL9P3
XIAP	METTL14	RPL35P5
KLHL26	GTF3A	WDR18
CAMK1D	IPO5	RPS3A
WAC	TRAM1	MRPL36
SEPT8	GPX7	COX18
C9orf91	SDAD1	MFI2
TCEAL8	CLGN	THAP3
MEX3B	GMDS	FAM120AOS
SH2D1A	PTPRD	IMPDH1
ATF3	MCF2L-AS1	DVL1
KIAA1522	NDUFAF4	MRPS10
FBL	MTF2	UBE2C
PARN	NPEPPS	SFMBT1
ACAD11	WDR85	OSER1
NDFIP2	DPH7	C20orf111
UBE4B	NONO	EXOC1
NIF3L1	NUP98	HIST1H2BD
DNAJB14	LY6G5B	UAP1
MYADM	RPA2	DCAKD
SNRK	S100PBP	HIST1H2AC
MRPS33	THOC2	RACGAP1
GSTM2	FBXO43	MCF2L
DBF4P1	PSMG2	RGP1
CBX7	ARHGEF2	LRRC33
CFL2	RPN2	NRROS
MATR3	DCLRE1A	ABCF2
HIST1H2BB	LUZP1	HAUS6
MTCP1	ZDHHC21	C15orf39
HEATR5B	COQ10A	PLEKHA1
TAB3	HNRNPL	HIPK2
ABCD4	GAA	ZNF761
TOR1A	PLRG1	ARMC12
RPL30P5	YBX1P1	RPL9P32
TMEM71	USP46	TNNI3K
SNAPC4	UBXN4	USP51
EHMT1	C1orf123	PPIP5K1
TMEM201	SEC24C	NCEH1
GTF2F2	ZKSCAN4	E2F5
EIF4EBP2	SERPINH1	ZNF146
STK38L	PMEPA1	ZNF202
MRPS18A	OSTCP1	SLC9A8
MCM10	UFM1	COG5
SHQ1	TFAM	ZCRB1
FBXW7	STOML2	GOT1
VARS	AKAP7	RUFY3
CETN2	RPL13AP25	SPOP
ZNF738	BAMBI	ZNF496
EIF2S2	DDX5	CD247
OVGP1	UNC119B	KIAA1715
BCKDHB	DNAJC25-GNG10	GOLGA5
RCOR3	MIS12	WDR3
UTP20	USP30	MRPL32
NIPSNAP3A	ERLEC1	COIL
MAGED1	FAM174B	ZNF790
ATP2B4	TGFBR2	FAM120A
CBLB	AKR1B1	ZFP41
PISD	SPOCK2	PSPH
DNAJA3	ELF1	STRAP
SDHAP1	ITM2B	METTL5
PKD2	HOXB4	FNBP4
C6orf211	TCTN1	TM9SF2
NUP62CL	KIAA0141	RBBP8
ZWILCH	PRPF18	ECSIT
ENTPD4	S100P	CIT
PARP11	ALDH16A1	LPAR2
PPP1R1C	DGCR14	ATP5F1P6
KDM5D	MRPL33	NDUFV2
TIPARP	DNAJC5	RBM26
GSPT1	RPS4XP21	TASP1
NAAA	RPS4XP20	RBBP7
KIAA1432	CYB5R1	ATP6V1G1P3
NPM1	TVP23C	SPTAN1
TRIM39	GTF2E2	KCTD2
LRP6	KDM3B	RPL21P40
NCBP1	SMC3	ARL6IP4
TMEM126B	KIAA0232	ELP5
EXTL2	CARS2	PRB3
SLC25A42	PSMC4	LPCAT4
CTBP2	ZNF280D	FAM214A
MAT2A	FAM96A	MBNL3
MED20	HUS1	TAF4B
RSBN1	NSDHL	UBE2K
SEC22B	SIGMAR1	ZNF195
HMMR	ZSCAN5A	LARP1B
TMEM101	USB1	CCDC69
CD99P1	DEGS1	DPH5
TGOLN2	LDHAP5	ARAF
ZFYVE26	SMAD2	PHF15
SLC9A7	TMEM101	CCNI
PYURF	NFS1	LCORL
TGFBR2	PBK	PIK3R4
CCDC77	ALDH18A1	SECISBP2L
RPL9P7	ALPK1	SRRT
DIAPH3	PHAX	ZC3H11B
ICAM2	LRRC8D	ZNF12
HECTD4	ZSCAN2	RGPD2
TIMM8BP2	ST3GAL6	TMEM173
RPL9P9	LONRF1	PARP6
MED19	GTPBP2	CERS6
TIMM10	ERAP2	ANKRD50
KIAA0141	TBCD	ERGIC1
CTR9	SMARCC2	NUDCD3
CHTOP	TRPV1	TM9SF4
SPAG9	ST3GAL1	LIG1
LTA4H	CCZ1	ZNF428
FBXO44	CD63	LINC00152
SNRPB2	C12orf23	LMO4
PTPRC	PGRMC2	CDNF
ACAT2	RPS26	DR1
COX19	MRPL52	MROH8
SHC4	EPS8L2	GAS5
SLC2A1	VPS25	LARP7
SH3BP2	MED14	COPS7B
EIF3E	TMEM42	COPS2
RBBP7	TSG101	DCUN1D2
FAM106A	HSPD1P1	TRAPPC6A
GAS8	SNRNP25	SPRY4
GLUD2	RALBP1	MAD2L1BP
SLC22A5	PLAU	BMI1
MFSD9	KIF14	KIAA0141
PTK2B	RNF34	MYEF2
C6orf48	ZNF792	ACAP3
MINPP1	FAM73B	NUDT22
MYO19	TARS2	PRR14
APOO	SEPT7P8	THOP1
SMC4	COL4A3BP	MAF1
ROCK1	SNHG10	HIST1H2AL
NSUN6	DPY19L4	ZNF213
SENP7	SLC35A2	PHAX
CYB5D1	KSR1	ING2
POLA2	SLC38A6	PRMT1
SMCHD1	RABGGTB	FRA10AC1
PRRT1	SRD5A1	XRCC6BP1
KIFAP3	DAGLB	PYGB
SCLY	NUTM2A-AS1	IKBKAP
DCUN1D1	CNTRL	MAGED1
FAM185A	FKBP4P1	MRPL55
HSPH1	RPL17-C18orf32	SH3YL1
TIMM9	SCAI	FBXO46
PCBD1	ARG2	DPP9
ZNF707	FAM106A	RAD50
ANG	KDM5B	STK17B
TTLL7	OXNAD1	RGMB
SIMC1	TMEM198B	ERICH1
ZNF182	RABGAP1	AKTIP
SMIM7	GGPS1	TBRG4
EML4	GBF1	RNU1-8
GBA2	MRPL11	RNU1-28P
MED13	DIS3L2	GRWD1
ATL2	COX10	PLGLB1
ANKRD37	ZDHHC8	IKBIP
CRTC3	CHEK2	FUT8
PAWR	RPS26P8	AIM1
CBX4	BDH1	RASA4B
ZNF76	ACAT1	CNOT6L
GPHN	WDR33	SOD2
PSME2	MICU1	YPEL2
PPP2R1B	APBA3	SNX12
SERTAD2	PNISR	MIR17HG
POLK	OTUB1	GRAP2
PALLD	MARK2	FAM72A
ABRACL	TET2	CNOT11
LNPEP	KANSL1	YIPF3
CDKN3	SLC12A7	ASPSCR1
TRMT12	RPLP0	KPNA1
SNX13	GPR176	ANP32B
PASK	TROVE2	LRRC1
CTDSPL	UBL4A	CERS5
UFSP2	RERE	DBNDD2
JOSD1	MDH2	CYFIP2
CHCHD3	TMEM39B	NUMA1
EIF3M	PDE12	ANTXR1
HMGB1	GTPBP5	ME2
ELP6	MTG2	HAGHL
PSMB1	PDE5A	MRPL34
RFWD2	UBAC1	STK38L
ERAP2	FAM120C	ECE2
VDAC1	BLOC1S6	SREBF1
KIAA0232	STARD7	KLHL8
ETFA	SPTAN1	ZNF77
MEIS1	UNKL	FAHD2CP
NDUFAF4	ADIPOR1	LAMP1
PRNP	YWHAZ	SFT2D3
GRK5	MYL12B	RGCC
SCFD1	CHUK	CRELD2
MARCH6	FANCL	MYD88
ACAD8	ZNF671	MTMR1
HIVEP3	COPS6	DDX50
S100A4	SYNGR1	ZNF707
RPS4XP20	CDC42P4	FAF1
RPS4XP21	PTTG1	CEP72
DNAJA2	INSIG1	SPPL2A
CREBBP	C19orf12	KIAA1549
RNGTT	SHISA2	WASH4P
SH3GL3	NINL	ENOX1
DHFR	ZC3H11B	MCM6
E2F2	XPA	SPAG1
HNRNPA3	NRARP	CPSF3L
FAM120B	GEMIN2	MEIS1
NFYA	GAB2	MUT
LRIG1	C9orf40	CST2
CST2	METAP2	SPSB2
ARMCX6	FAM162A	SYNJ1
RHOQ	NARS2	EXOC3
PTPLAD2	ANKLE2	SELPLG
UBQLN1	RPL6P12	INTS6
TWISTNB	ATP5B	ZNF449
SSSCA1	ZNF92	PHOSPHO2
TAF1	LARP1B	RAPGEF5
WDR76	ARHGAP30	FURIN
C5	TLK1	C2orf81
MCTS1	SAT1	C19orf12
TMCO3	PITHD1	RFPL3S
CLTA	CTDSPL2	C3orf33
EIF5A2	CETN2	ARPC4-TTLL3
RPUSD2	NFATC1	CHD9
UBE2O	WARS	TMEM19
RPS3A	ADIPOR2	SPRY1
P4HTM	SOWAHA	BAK1
MYL6	SFXN3	NPLOC4
NUP107	CUEDC2	CALM2
SLC25A12	RPAP2	VILL
METTL2B	PIPSL	ZC3HC1
UFC1	CXorf38	TINF2
LYPLA1	CMYA5	APH1A
EIF3J	RN7SKP71	RCE1
LIMS1	MEX3B	CERKL
C1orf21	TRAFD1	CSRNP1
CEP68	CPT1A	NUP54
ZNF354A	DTX1	CHSY1
SMIM11	SLC40A1	TIGD5
POLR2I	PABPC1L	SFXN1
KRI1	SMDT1	NECAB3
CAMK2G	C22orf32	MDM2
IGHV1-2	STRBP	UBE2V1P2
GFM1	SNRNP48	CYFIP1
TIA1	EED	MCAT
SAP30	NDUFV1	FZD7
RAB11FIP2	ARF1	AKNA
FEM1C	SEPN1	MAT2A
C12orf49	ATAD2B	APC
ZNF480	AEBP1	NSUN4
FGD3	PTK7	BAIAP2
RBM6	PET112	FBLN2
FAM120AOS	HSD17B6	RMDN1
SLX4	RTCA	LDB1
ZNF292	GADD45GIP1	MED9
RWDD4	MED20	SWI5
CAMKMT	WDR13	CLEC2D
NEDD4	CS	SRD5A3
EGLN1	COMMD5	CRADD
CHFR	TRPT1	ATP6AP2
HERC4	PTPLB	DSN1
LYPLAL1	LRRC33	PLXNA3
LRRCC1	NRROS	PTGES2
GFI1	PYROXD1	AHCYL2
LMBRD2	STK33	PABPC4
ABHD5	KCTD7	KRI1
TMEM254	YTHDC2	GPX4
HMGA2	MKLN1	NFE2L2
C4orf46	EIF4A3	SLC9A9
ANKMY2	CLUAP1	ZFR
SNX25	PRDX2	ATXN7L1
MTIF3	EMC3	FBXL3
UQCR10	DNAJC9-AS1	ZC3H3
TRMT11	MTF1	FGFRL1
PIPSL	SHROOM1	TMEM8B
TNKS	ARRDC2	BBS4
FAM45A	MSL3	TXLNA
RANGAP1	GALNT1	FLT4
SLC25A32	PTPRG	PCNP
NFXL1	MTDH	DPY19L2P3
ZNF232	SLCO2A1	FAM92A1
ITFG1	CMTM7	KCNAB2
GGNBP2	RPL35	RNF115
MIR17HG	TAF1D	TMEM138
RNU6-15	STRADBP1	ZCCHC7
RNU6-15P	CALM1P2	XPOT
CD244	FBXW7	PDS5B
RPL19P12	INTS9	MPC2
PPT1	THOC5	RPL32P3
RAB9B	NF1	RFC1
FOXN3	KTN1	MTAP
